Blogs Name,Links
"Nokia 6 gets a 4GB RAM variant in India, priced at INR 16,999",https://androidos.in/2018/02/15/nokia-6-4gb-ram-variant-india-launch/
Amazon brings Alexa-to-Alexa calling & multi-room music to India,https://androidos.in/2018/02/15/alexa-to-alexa-calling-multi-room-music-india/
What is Pragati OS? – Explaining Jio Phone Next,https://androidos.in/2021/10/25/pragati-os-jio-phone-next/
Moto G9 Power set to launch in India on December 8,https://androidos.in/2020/12/04/moto-g9-power-india-launch-date-december-8-price-specifications/
Tecno Pova with MediaTek Helio G80 SoC launched in India,https://androidos.in/2020/12/04/tecno-pova-price-in-india-launch-specifications/
Infinix Zero 8i with Helio G90T SoC launched in India,https://androidos.in/2020/12/04/infinix-zero-8i-launch-price-in-india-specifications/
Mi TV 5 Pro with quantum dot display teased to launch in India soon,https://androidos.in/2020/12/03/xiaomi-mi-tv-5-pro-india-launch-soon-price-specifications/
"Xiaomi hikes prices of Mi TV 4A 40, Mi TV 4A Pro 32, Mi TV 4A 32 Horizon in India",https://androidos.in/2020/12/03/mi-tv-4a-40-pro-32-horizon-edition-price-in-india-increased/
"Vi (Vodafone Idea) launches Rs. 1,348 RedX postpaid plan with unlimited data",https://androidos.in/2020/12/03/vi-vodafone-idea-rs-1348-redx-postpaid-plan-649-799-family/
"Nokia C3 price slashed in India, now starts at Rs. 6,999",https://androidos.in/2020/12/03/nokia-c3-price-in-india-cut-hmd-global/
Vivo V20 Pro with dual selfie cameras launched in India,https://androidos.in/2020/12/02/vivo-v20-pro-price-in-india-29990-launch-specifications/
"Redmi 9 Power, Poco M3 coming to India soon",https://androidos.in/2020/12/01/redmi-9-power-poco-m3-india-launch-soon-specifications/
Jabra Elite 85t TWS earbuds with ANC launched in India,https://androidos.in/2020/11/30/jabra-elite-85t-tws-earbuds-price-in-india-launch/
"Vivo V20 Pro price in India tipped by Reliance Digital, Sangeetha Mobiles, Poorvika",https://androidos.in/2020/11/30/vivo-v20-pro-price-in-india-reliance-digital-sangeetha-mobiles-poorvika/
Motorola Moto G 5G with Snapdragon 750 SoC launched in India,https://androidos.in/2020/11/30/moto-g-5g-price-in-india-launch-specifications-motorola/
Tecno Pova with MediaTek Helio G80 SoC launching in India on December 4,https://androidos.in/2020/11/30/tecno-pova-india-launch-date-december-4-price-specifications/
Realme 7 Pro all set to receive Realme UI 2.0 update with Android 11,https://androidos.in/2020/11/28/realme-7-pro-android-11-ui-2-0-update-india-rollout-soon/
"Micromax In 1b runs on Android Go edition, not Android 10",https://androidos.in/2020/11/28/micromax-in-1b-android-version-10-go-edition/
Vivo V20 Pro set to launch in India on December 2,https://androidos.in/2020/11/27/vivo-v20-pro-india-launch-date-december-2/
Akai Fire TV Edition 43-inch Smart TV launched in India,https://androidos.in/2020/11/27/akai-fire-tv-edition-43-inch-price-in-india-launch/
"Black Friday 2020 deals in India: Best offers on Amazon, Flipkart, Mi.com, Tata Cliq",https://androidos.in/2020/11/27/black-friday-2020-deals-india-best-offers-amazon-flipkart-mi-com-tata-cliq/
Nokia 2.4 with MediaTek Helio P22 SoC launched in India,https://androidos.in/2020/11/26/nokia-2-4-price-in-india-launch-specifications/
Moto G 5G launching in India on November 30,https://androidos.in/2020/11/26/moto-g-5g-india-launch-date-november-30-price-specifications/
"Vivo Y1s with MediaTek Helio P35 launched in India, exclusive to Jio",https://androidos.in/2020/11/26/vivo-y1s-jio-launch-price-in-india-specifications/
"AliExpress, SnackVideo, 41 more Chinese apps banned in India: Full list",https://androidos.in/2020/11/25/aliexpress-snack-video-43-chinese-apps-banned-india-full-list/
Micromax In Note 1: 10 things you need to know before buying it,https://androidos.in/2020/11/24/micromax-in-note-1-price-in-india-specifications-how-to-buy/
WhatsApp Disappearing Messages feature now live in India: How to use,https://androidos.in/2020/11/23/whatsapp-disappearing-messages-feature-india-how-to-use/
"Vivo V20 Pro India launch date is November 25, claims tipster",https://androidos.in/2020/11/23/vivo-v20-pro-india-launch-date-rumour/
Google Assistant now works in Hindi on Android phones,https://androidos.in/2018/03/15/google-assistant-in-hindi/
"Xiaomi Redmi 5 launched in India, price starts INR 7,999",https://androidos.in/2018/03/14/xiaomi-redmi-5-india-launch/
"Vu introduces 43-inch, 49-inch & 55-inch 4K Android TV models in India",https://androidos.in/2018/03/13/vu-android-tv-launch-india/
Google Maps gets voice navigation in six more Indian languages,https://androidos.in/2018/03/13/google-maps-voice-navigation-indic-language-support/
Honor 7X gets Face Unlock support via software update,https://androidos.in/2018/03/12/honor-7x-gets-face-unlock-support-via-software-update/
"Xiaomi Mi TV 4A launched in India, price starts INR 13,999",https://androidos.in/2018/03/07/mi-tv-4a-india-launch/
Google rolling out chat support in Tez app,https://androidos.in/2018/03/06/google-tez-chat/
Samsung Galaxy S9 and S9+ launched in India: All you need to know,https://androidos.in/2018/03/06/samsung-galaxy-s9-s9-plus-india-launch/
"Amazon launches its music streaming service in India, free for Prime members",https://androidos.in/2018/02/28/amazon-music-india-launch/
